"No. Fold" "No. Init Iteration" Epoch "F1 Score"
0 0 0 0.47553083300590515
0 0 1 0.5220664143562317
0 0 2 0.48123231530189514
0 0 3 0.5490776896476746
0 0 4 0.5665907859802246
0 0 5 0.6019582748413086
0 0 6 0.4943314492702484
0 0 7 0.5078648924827576
0 0 8 0.6238265037536621
0 0 9 0.6435350775718689
0 0 10 0.6307430863380432
0 0 11 0.6899104714393616
0 0 12 0.7187740802764893
0 0 13 0.6631736755371094
0 0 14 0.6591812968254089
0 0 15 0.5868034362792969
0 0 16 0.5611305832862854
0 0 17 0.5844197273254395
0 0 18 0.3982926905155182
0 0 19 0.7236995697021484
0 0 20 0.6854570508003235
0 0 21 0.7446685433387756
0 0 22 0.6883504986763
0 0 23 0.731713593006134
0 0 24 0.5128434300422668
0 0 25 0.7493754029273987
0 0 26 0.7393810153007507
0 0 27 0.7030035853385925
0 0 28 0.5853894352912903
0 0 29 0.6129832863807678
0 0 30 0.7662480473518372
0 0 31 0.7871878743171692
0 0 32 0.7658482193946838
0 0 33 0.7819358706474304
0 0 34 0.7887675762176514
0 0 35 0.778785228729248
0 0 36 0.7983852028846741
0 0 37 0.7994077205657959
0 0 38 0.7977017760276794
0 0 39 0.8014472126960754
0 0 40 0.7960577607154846
0 0 41 0.804523229598999
0 0 42 0.7992680668830872
0 0 43 0.8050826191902161
0 0 44 0.77202969789505
0 0 45 0.8031930923461914
0 0 46 0.796196460723877
0 0 47 0.803564727306366
0 0 48 0.8019148707389832
0 0 49 0.7966351509094238
0 0 50 0.792401134967804
0 0 51 0.8050534129142761
0 0 52 0.7997303009033203
0 0 53 0.817891538143158
0 0 54 0.8043739199638367
0 0 55 0.8166659474372864
0 0 56 0.8178007006645203
0 0 57 0.8093674778938293
0 0 58 0.8064708113670349
0 0 59 0.8139448165893555
0 0 60 0.8218867778778076
0 0 61 0.8241214752197266
0 0 62 0.8272452354431152
0 0 63 0.8210033774375916
0 0 64 0.8206209540367126
0 0 65 0.8308377861976624
0 0 66 0.8258091807365417
0 0 67 0.8228614926338196
0 0 68 0.8253748416900635
0 0 69 0.8248984217643738
0 0 70 0.8212572932243347
0 0 71 0.8264461159706116
0 0 72 0.8280633091926575
0 0 73 0.8245902061462402
0 0 74 0.8271121382713318
0 0 75 0.8260331153869629
0 0 76 0.827519416809082
0 0 77 0.8212809562683105
0 0 78 0.823207676410675
0 0 79 0.8294327855110168
0 0 80 0.8249978423118591
0 0 81 0.8263039588928223
0 0 82 0.8315525650978088
0 0 83 0.8275628089904785
0 0 84 0.8286250233650208
0 0 85 0.8289647698402405
0 0 86 0.8283326029777527
0 0 87 0.8313803672790527
0 0 88 0.8266633152961731
0 0 89 0.828988790512085
0 0 90 0.8285409808158875
0 0 91 0.8321883082389832
0 0 92 0.8293951153755188
0 0 93 0.8298840522766113
0 0 94 0.828883707523346
0 0 95 0.828501284122467
0 0 96 0.8328359127044678
0 0 97 0.8287129402160645
0 0 98 0.8321080207824707
0 0 99 0.8346667885780334
0 0 100 0.8302974700927734
0 0 101 0.8318074345588684
0 0 102 0.830748975276947
0 0 103 0.8293163180351257
0 0 104 0.8338110446929932
0 0 105 0.8365311622619629
0 0 106 0.8296958804130554
0 0 107 0.8319200873374939
0 0 108 0.8309946060180664
0 0 109 0.8294246196746826
0 0 110 0.8305079340934753
0 0 111 0.834002673625946
0 0 112 0.8298341631889343
0 0 113 0.8308732509613037
0 0 114 0.8310920596122742
0 0 115 0.8312895894050598
0 0 116 0.8313887715339661
0 0 117 0.8300884366035461
0 0 118 0.8280704617500305
0 0 119 0.829434871673584
0 0 120 0.828318178653717
0 0 121 0.8306528925895691
0 0 122 0.8318766951560974
0 0 123 0.8280682563781738
0 0 124 0.8312699198722839
0 0 125 0.8315361142158508
0 0 126 0.8353757858276367
0 0 127 0.8304395079612732
0 0 128 0.8306565284729004
0 0 129 0.8293981552124023
0 0 130 0.8317379951477051
0 0 131 0.8313130736351013
0 0 132 0.8262889981269836
0 0 133 0.833117663860321
0 0 134 0.8293554186820984
0 0 135 0.827094554901123
0 0 136 0.8297193646430969
0 0 137 0.8299658894538879
0 0 138 0.8295522332191467
0 0 139 0.8327538371086121
0 0 140 0.8320897221565247
0 0 141 0.828319251537323
0 0 142 0.8333569169044495
0 0 143 0.8312080502510071
0 0 144 0.8307779431343079
0 0 145 0.831716001033783
0 0 146 0.8320921063423157
0 0 147 0.8302092552185059
